id,Date1,Date2,Price1,Price2
81,2005-03-04,2014-06-10,130000,161000
83,1997-02-28,1999-03-29,43000,48500
85,2016-12-16,2023-01-06,190000,295000
87,2003-10-17,2018-06-07,137500,160000
87,2018-06-07,2023-05-09,160000,295000
90,1997-07-14,2011-10-06,57000,135000
91,1998-06-19,2026-01-28,62950,242000
92,1995-03-15,1999-10-01,37500,70000
92,1999-10-01,2003-07-08,70000,117250
92,2003-07-08,2014-08-22,117250,158500
95,1997-12-12,2008-02-20,59995,140000
95,2008-02-20,2022-06-24,140000,270000
98,2000-11-06,2002-06-18,60000,89995
98,2002-06-18,2006-07-14,89995,145000
100,2011-10-27,2012-11-02,120000,150000
100,2012-11-02,2014-10-27,150000,175000
100,2014-10-27,2019-02-01,175000,211000
101,1998-02-03,2017-12-08,58000,215000
101,2017-12-08,2024-11-15,215000,258000
106,2007-07-20,2012-10-19,160000,156000
107,2015-08-21,2023-05-09,160000,295000
109,2014-01-29,2014-08-12,130250,160000
109,2014-08-12,2018-06-07,160000,223000
109,2018-06-07,2021-01-29,223000,232000
110,1998-10-02,2018-10-19,64000,172000
111,2016-01-22,2017-05-19,147000,199950
111,2017-05-19,2024-06-28,199950,265000
111,2024-06-28,2024-10-02,265000,250000
112,2013-06-28,2023-09-20,132500,230000
115,2008-02-22,2015-08-14,150000,157000
116,2003-11-12,2004-06-17,120000,143000
117,1999-02-19,2013-08-06,68000,155000
119,2013-08-23,2019-12-13,135040,177000
119,2019-12-13,2025-12-08,177000,250000
120,1995-04-13,2003-02-28,47000,117500
120,2003-02-28,2007-06-01,117500,156000
122,1999-02-12,2003-06-20,57950,123750
122,2003-06-20,2006-08-11,123750,144000
122,2006-08-11,2007-01-19,144000,149000
122,2007-01-19,2024-10-25,149000,240000
123,2005-08-19,2012-11-01,134000,135000
123,2012-11-01,2020-09-11,135000,185000
124,2006-07-27,2014-03-17,123000,146000
124,2014-03-17,2019-01-04,146000,182500
124,2019-01-04,2026-02-26,182500,227500
126,2000-09-01,2022-11-25,74500,240000
127,1996-07-11,2006-07-07,60000,155000
127,2006-07-07,2014-03-14,155000,175000
128,2002-08-09,2004-03-05,95000,126000
128,2004-03-05,2017-05-19,126000,221550
128,2017-05-19,2022-11-04,221550,282500
129,2000-12-15,2011-12-09,76000,131500
130,1997-01-31,1997-08-22,48500,52500
130,1997-08-22,2002-08-20,52500,120000
130,2002-08-20,2010-06-17,120000,158000
130,2010-06-17,2015-06-30,158000,157500
131,1998-03-31,2002-12-18,38500,85000
131,2002-12-18,2014-04-17,85000,111000
131,2014-04-17,2017-09-14,111000,114000
131,2017-09-14,2022-10-28,114000,141000
132,2002-10-01,2006-10-18,72500,110000
132,2006-10-18,2020-07-24,110000,116500
134,1995-01-12,1997-01-08,37000,28500
134,1997-01-08,1997-07-21,28500,35950
134,1997-07-21,2000-04-14,35950,49000
135,1997-11-28,2000-10-20,37000,59500
135,2000-10-20,2005-09-05,59500,105000
135,2005-09-05,2014-09-05,105000,96000
135,2014-09-05,2021-02-05,96000,120500
137,1999-02-26,2002-04-26,52000,86000
137,2002-04-26,2003-12-19,86000,136000
137,2003-12-19,2011-10-04,136000,131000
140,1996-06-07,2005-03-23,75000,192500
140,2005-03-23,2016-05-11,192500,233000
140,2016-05-11,2021-06-30,233000,239000
140,2021-06-30,2024-09-02,239000,277500
142,2000-11-17,2002-12-20,87450,150000
142,2002-12-20,2016-11-04,150000,200000
143,2002-10-25,2013-11-08,95000,143000
145,2009-07-22,2010-07-09,115000,125000
145,2010-07-09,2022-09-30,125000,290000
148,1998-07-24,2001-05-11,54950,67500
148,2001-05-11,2005-06-23,67500,132000
148,2005-06-23,2007-07-02,132000,153500
155,1999-11-25,2005-02-10,69950,131000
155,2005-02-10,2005-09-29,131000,132000
156,2004-07-14,2006-11-14,133000,144950
156,2006-11-14,2015-11-30,144950,175000
157,1998-04-24,2002-01-25,53000,78500
158,2000-02-11,2005-03-04,67000,129950
161,2000-12-18,2005-06-22,39000,139900
161,2005-06-22,2025-01-31,139900,284000
163,1998-05-01,2003-04-23,38500,100000
163,2003-04-23,2014-01-24,100000,118000
164,1996-07-31,2023-08-31,42000,250000
168,2019-06-14,2024-10-14,163000,240000
169,1997-04-04,2002-02-08,47000,82500
169,2002-02-08,2016-02-19,82500,164500
169,2016-02-19,2025-12-18,164500,251500
170,2006-03-10,2017-02-23,146250,190000
173,2000-05-26,2015-06-30,86950,190000
176,1996-04-26,2005-06-07,60000,170000
180,1996-07-26,2003-06-20,46500,117000
180,2003-06-20,2005-08-26,117000,139000
180,2005-08-26,2025-11-06,139000,280000
182,1999-12-10,2002-06-24,66000,94950
184,2013-02-22,2014-03-07,120000,130500
184,2014-03-07,2021-06-01,130500,235000
194,2008-07-18,2016-04-22,100000,112000
194,2016-04-22,2018-05-04,112000,122000
195,1996-11-25,2002-01-30,20000,49500
195,2002-01-30,2003-07-11,49500,78000
195,2003-07-11,2007-08-13,78000,113000
196,1996-12-02,2020-05-22,42000,165000
198,1998-08-28,1999-03-30,54500,57000
198,1999-03-30,2022-06-10,57000,242000
202,1999-04-30,2001-12-19,56500,82000
202,2001-12-19,2016-11-09,82000,165000
203,2001-01-31,2006-04-28,70000,160000
205,2000-05-25,2003-01-31,50000,86000
205,2003-01-31,2005-10-28,86000,118000
205,2005-10-28,2007-07-06,118000,109950
205,2007-07-06,2020-12-04,109950,195000
205,2020-12-04,2024-09-20,195000,215000
207,1998-06-18,2005-12-20,44000,139450
207,2005-12-20,2008-11-07,139450,150000
207,2008-11-07,2025-04-25,150000,135000
208,2001-09-28,2007-08-02,72000,139000
211,2016-03-08,2016-12-15,141000,164000
212,2003-02-12,2005-12-12,100500,113000
212,2005-12-12,2017-03-10,113000,160125
213,1997-08-28,2001-09-14,35500,65000
214,2005-02-25,2007-11-23,130500,194000
215,2005-04-29,2011-11-25,160000,165000
216,2004-07-20,2013-06-12,114950,123000
216,2013-06-12,2015-09-25,123000,157000
221,2004-03-22,2022-10-28,104000,200000
222,2005-12-21,2007-06-07,139500,152000
223,2002-03-28,2012-03-06,85000,129000
223,2012-03-06,2015-07-29,129000,165000
225,2009-05-01,2018-05-08,95000,175000
232,2000-08-01,2004-08-02,72000,122000
232,2004-08-02,2014-01-17,122000,135000
233,2005-05-27,2010-07-09,195000,188000
233,2010-07-09,2014-04-04,188000,197500
234,2005-09-16,2023-11-24,195000,320000
236,2014-05-23,2023-09-07,210000,375000
237,1995-05-12,1999-08-09,44750,65000
237,1999-08-09,2004-02-20,65000,155000
238,1999-01-22,2010-05-28,23000,75000
246,2021-01-29,2024-03-11,170000,210000
250,2008-01-18,2016-09-09,120000,145000
250,2016-09-09,2023-04-28,145000,251000
253,1997-03-27,2005-04-29,57000,134500
254,2009-12-04,2015-03-16,114000,150000
254,2015-03-16,2022-05-27,150000,250000
254,2022-05-27,2025-03-20,250000,275000
256,2007-06-11,2016-08-11,103500,113675
256,2016-08-11,2023-03-16,113675,147000
258,1998-08-28,2017-06-16,52000,185000
259,2000-12-15,2003-12-22,70000,112500
259,2003-12-22,2016-06-03,112500,161500
260,1999-10-08,2014-04-04,56000,117000
260,2014-04-04,2014-09-02,117000,170000
262,2000-03-31,2014-12-12,59250,130000
263,1999-08-04,2009-12-21,61950,125000
263,2009-12-21,2013-03-01,125000,125000
263,2013-03-01,2015-11-13,125000,162000
265,2004-08-31,2016-01-15,125000,151500
269,1996-06-28,1998-08-17,41500,48500
269,1998-08-17,2013-07-30,48500,125000
269,2013-07-30,2022-05-13,125000,235000
270,2001-01-26,2004-12-03,74500,121000
270,2004-12-03,2007-06-01,121000,148500
277,2005-03-23,2019-02-05,116500,121000
279,2004-05-13,2018-11-30,220000,355000
283,2015-07-21,2021-03-04,160000,220000
284,1995-11-10,2006-12-04,46500,163000
285,1997-12-19,2021-06-14,50000,203000
286,2006-05-17,2015-12-22,148000,180000
286,2015-12-22,2021-02-26,180000,210000
287,1998-05-01,1999-07-16,54950,62000
288,2004-05-13,2007-09-18,139950,167000
288,2007-09-18,2025-08-11,167000,270000
289,1996-11-05,2001-06-27,55000,97500
289,2001-06-27,2006-08-29,97500,177000
289,2006-08-29,2020-09-18,177000,246500
290,2001-07-18,2002-03-28,96000,98000
290,2002-03-28,2004-09-30,98000,151000
291,1997-06-13,1997-07-11,53500,56250
292,1998-11-09,2024-01-31,60000,233500
293,2003-12-12,2024-10-07,134000,265000
294,2001-10-31,2006-04-07,89200,144000
294,2006-04-07,2008-09-12,144000,154000
295,2006-08-14,2010-09-08,137000,137000
295,2010-09-08,2024-05-03,137000,235000
296,1998-12-04,2020-11-20,66000,208000
297,1995-08-01,2000-07-28,36500,79950
297,2000-07-28,2004-06-28,79950,154950
297,2004-06-28,2008-07-31,154950,182500
297,2008-07-31,2014-08-15,182500,195000
298,1997-08-29,2001-08-29,49500,79000
301,1998-05-29,2002-08-16,51000,96950
301,2002-08-16,2007-06-08,96950,154950
301,2007-06-08,2023-10-05,154950,227500
302,2006-08-24,2010-06-30,142000,150000
302,2010-06-30,2017-11-30,150000,160000
302,2017-11-30,2019-09-20,160000,173000
303,1995-08-18,1995-09-01,44000,42000
303,1995-09-01,2012-09-21,42000,136000
303,2012-09-21,2021-09-27,136000,210000
304,1996-08-23,1999-10-01,43500,58000
304,1999-10-01,2004-10-15,58000,132000
304,2004-10-15,2006-07-14,132000,142500
304,2006-07-14,2012-08-24,142500,137500
306,1998-08-21,2007-09-28,60000,166000
306,2007-09-28,2016-03-07,166000,157000
308,1997-10-31,2009-11-06,46000,117500
308,2009-11-06,2014-12-17,117500,155000
308,2014-12-17,2022-05-25,155000,235000
308,2022-05-25,2025-05-28,235000,261000
309,1998-02-06,2003-08-27,50000,118500
309,2003-08-27,2011-07-29,118500,135000
309,2011-07-29,2016-07-22,135000,157500
309,2016-07-22,2018-11-30,157500,172500
310,1996-08-09,2000-02-29,44750,65000
310,2000-02-29,2001-06-05,65000,79500
310,2001-06-05,2002-10-02,79500,106000
311,2018-03-29,2022-10-25,175000,241500
312,1996-05-03,1999-01-29,43000,51000
312,1999-01-29,2002-04-26,51000,84950
312,2002-04-26,2004-01-23,84950,119000
312,2004-01-23,2010-04-16,119000,129950
313,1998-08-14,1998-10-21,52000,54500
313,1998-10-21,1999-08-25,54500,58000
313,1999-08-25,2014-07-16,58000,124000
313,2014-07-16,2017-07-07,124000,168000
316,1996-09-27,1997-06-27,29500,29950
316,1997-06-27,2007-04-30,29950,90000
316,2007-04-30,2023-05-19,90000,145000
321,2002-01-09,2023-07-02,80000,265000
322,2010-10-26,2013-07-19,111000,130000
324,2001-02-19,2008-07-18,69000,148000
324,2008-07-18,2015-11-12,148000,145000
326,2007-09-28,2013-09-13,143000,119000
326,2013-09-13,2014-12-08,119000,145000
326,2014-12-08,2017-08-03,145000,155000
326,2017-08-03,2020-07-20,155000,155000
326,2020-07-20,2020-10-19,155000,145000
326,2020-10-19,2021-12-17,145000,225000
330,2009-11-13,2011-10-07,103000,110000
331,1995-11-30,2000-02-18,43995,69950
331,2000-02-18,2017-08-03,69950,168000
334,2009-10-23,2015-07-03,104000,158000
337,2003-06-02,2025-12-19,92000,240000
338,1998-02-25,2014-04-17,45500,125000
339,2004-08-06,2008-04-11,114000,130000
339,2008-04-11,2016-04-22,130000,160000
341,2003-01-28,2004-06-04,100000,104950
341,2004-06-04,2005-11-04,104950,119995
342,1998-04-17,2008-08-29,54500,160000
343,1996-09-06,2002-07-16,33000,75000
343,2002-07-16,2009-10-30,75000,112500
343,2009-10-30,2022-08-09,112500,300500
345,2001-04-02,2011-09-23,44000,64000
347,1997-08-15,2000-11-24,55000,78000
347,2000-11-24,2017-11-28,78000,155000
347,2017-11-28,2023-01-13,155000,22500
348,1999-08-06,2007-09-07,46000,152500
348,2007-09-07,2016-05-20,152500,151000
349,1998-02-12,2014-10-03,46250,147000
349,2014-10-03,2016-01-22,147000,157500
352,1996-01-12,2006-08-21,35000,130000
352,2006-08-21,2018-08-17,130000,210000
355,2003-04-04,2014-03-28,89000,134000
357,2010-05-07,2019-03-20,125000,180000
358,2000-05-01,2023-01-27,29150,231000
360,2007-07-20,2013-02-15,135000,127000
360,2013-02-15,2018-07-27,127000,182500
361,2015-02-27,2019-06-06,129950,190000
363,2013-11-29,2021-08-23,130000,215000
364,2009-05-27,2010-11-02,122500,131500
364,2010-11-02,2019-06-26,131500,184500
365,2012-10-16,2024-08-16,130000,212000
366,2017-08-18,2019-07-10,181000,190000
367,2016-02-29,2023-02-22,140000,242000
369,1996-04-04,2002-11-22,41000,95000
369,2002-11-22,2020-06-12,95000,170000
369,2020-06-12,2023-11-27,170000,250000
372,2011-08-30,2015-07-28,115000,160000
376,2004-02-13,2005-07-01,118000,128000
377,2012-03-02,2016-05-06,119000,100000
379,2007-12-19,2014-11-04,95000,100000
382,1996-11-08,2000-12-15,27000,37500
383,2001-06-15,2003-07-31,39000,53000
383,2003-07-31,2007-07-31,53000,108000
383,2007-07-31,2017-10-06,108000,101000
390,2002-08-02,2004-08-27,88000,111000
390,2004-08-27,2005-08-26,111000,120000
390,2005-08-26,2016-01-06,120000,175000
392,2003-04-17,2008-03-14,112500,105000
393,2013-02-12,2020-01-03,117500,187500
395,2002-12-05,2006-05-23,98000,127000
395,2006-05-23,2018-03-27,127000,191000
398,2000-08-04,2014-03-27,70750,139500
398,2014-03-27,2020-09-18,139500,191000
402,2001-01-02,2023-05-19,60000,240000
403,2012-12-07,2013-08-05,95000,124000
404,2009-06-26,2013-07-22,120000,160000
404,2013-07-22,2018-12-19,160000,220000
406,2000-01-31,2002-10-31,59500,84000
406,2002-10-31,2007-07-02,84000,154999
406,2007-07-02,2016-07-01,154999,162500
407,1997-08-18,2001-02-05,58000,78000
408,2004-11-01,2025-06-13,80000,170000
408,2025-06-13,2025-06-13,170000,152000
408,2025-06-13,2025-07-22,152000,188000
409,1995-05-05,1998-01-09,39000,42000
409,1998-01-09,2001-08-03,42000,70000
409,2001-08-03,2007-04-05,70000,135000
409,2007-04-05,2016-12-22,135000,163000
409,2016-12-22,2017-07-18,163000,140000
413,2022-04-11,2022-10-20,161000,222000
416,2004-06-21,2020-06-16,60000,220000
417,2024-08-30,2024-10-15,178000,202000
419,2004-11-11,2006-12-01,98000,90000
422,2000-09-11,2004-11-26,52000,90000
422,2004-11-26,2006-11-22,90000,130000
422,2006-11-22,2019-07-30,130000,217250
423,2016-06-03,2018-12-20,150000,200000
423,2018-12-20,2022-08-12,200000,262000
425,2004-10-13,2009-11-12,117500,112000
425,2009-11-12,2014-10-10,112000,134000
425,2014-10-10,2018-08-24,134000,174000
426,2003-05-23,2006-01-20,112000,132500
426,2006-01-20,2015-04-30,132500,165000
428,2009-01-30,2020-09-11,120000,170000
429,2003-04-17,2025-09-05,94000,220000
430,2008-12-12,2018-10-05,134250,187500
431,1999-04-23,2011-10-07,58500,123000
433,1995-11-03,1998-07-03,42000,48000
433,1998-07-03,2001-07-06,48000,72500
433,2001-07-06,2024-05-23,72500,312000
436,2006-03-31,2017-03-28,118500,167500
436,2017-03-28,2020-12-04,167500,220000
437,2001-01-05,2005-04-29,56000,120000
437,2005-04-29,2006-01-20,120000,118000
438,2007-09-14,2010-06-18,153000,140000
440,2004-03-22,2015-04-17,65000,136000
441,2014-07-31,2021-09-03,153000,210000
445,1995-02-03,2001-01-12,45250,67500
445,2001-01-12,2006-03-31,67500,115000
446,1997-01-31,2005-11-25,41500,124000
447,1995-05-12,1999-12-21,49950,68500
447,1999-12-21,2003-10-15,68500,125000
447,2003-10-15,2024-10-11,125000,242000
448,2019-04-17,2025-09-19,153000,247200
449,2018-05-16,2023-06-30,190000,253000
452,2001-01-08,2023-03-17,30000,160000
453,2007-09-24,2019-10-28,152500,152000
455,2002-03-15,2006-09-22,82250,139950
456,2015-10-19,2025-07-14,155000,237000
457,2014-11-14,2021-08-06,156500,207000
458,2002-04-05,2005-07-08,82500,124000
460,2004-09-03,2006-02-10,130000,131500
460,2006-02-10,2014-12-19,131500,160000
461,2006-01-31,2021-04-30,118000,185500
462,2004-08-16,2014-12-17,60000,155000
463,1999-06-11,2006-11-17,39000,146000
470,2001-09-14,2016-04-29,58000,148000
470,2016-04-29,2023-01-12,148000,212000
471,2015-07-30,2024-02-26,162000,212000
472,2003-03-14,2012-06-29,100000,100000
474,1996-04-29,2006-07-13,41000,120000
474,2006-07-13,2013-11-14,120000,125000
475,1998-09-25,2009-09-04,48500,125000
475,2009-09-04,2012-08-08,125000,125000
475,2012-08-08,2018-07-31,125000,175000
476,2000-06-16,2014-08-29,75000,140000
477,2004-05-24,2019-05-24,60000,182000
478,1998-07-24,2004-06-29,43500,111500
481,2008-05-30,2012-10-05,125000,124500
481,2012-10-05,2022-05-27,124500,250000
481,2022-05-27,2025-09-19,250000,250000
482,1996-03-01,2014-02-28,38000,136000
483,2010-04-30,2012-06-22,62500,73500
484,2004-09-23,2022-08-25,120000,180000
485,2001-08-24,2007-07-02,86655,151500
486,2000-12-08,2002-05-08,65500,85000
488,2001-05-18,2005-06-20,85250,135000
488,2005-06-20,2006-05-19,135000,142000
489,2001-06-22,2002-05-24,74500,83500
489,2002-05-24,2004-04-02,83500,115000
489,2004-04-02,2008-08-08,115000,125000
489,2008-08-08,2013-08-02,125000,125000
490,2001-09-21,2015-12-10,84450,171101
491,2001-04-27,2004-10-04,76370,120750
491,2004-10-04,2011-11-23,120750,108000
492,2001-05-04,2003-07-25,78500,99000
492,2003-07-25,2009-05-07,99000,110000
493,2001-09-28,2003-06-27,89950,132950
493,2003-06-27,2005-04-14,132950,145000
493,2005-04-14,2009-12-17,145000,145000
493,2009-12-17,2022-03-08,145000,237000
494,2001-12-24,2007-06-29,97000,150000
494,2007-06-29,2007-10-26,150000,152500
495,2001-07-27,2003-10-24,79950,102000
495,2003-10-24,2007-11-01,102000,145000
495,2007-11-01,2017-01-27,145000,148000
499,2004-03-26,2004-10-25,99950,115000
500,2001-04-10,2004-08-12,79800,125000
500,2004-08-12,2015-12-15,125000,138500
502,2001-09-14,2005-05-10,94575,141000
502,2005-05-10,2014-05-23,141000,142000
503,2001-04-27,2002-11-22,79950,99950
503,2002-11-22,2018-04-24,99950,165000
504,2001-06-29,2003-08-22,89950,125000
504,2003-08-22,2015-01-16,125000,150000
506,2001-06-08,2002-11-08,77950,102500
506,2002-11-08,2004-01-26,102500,117000
506,2004-01-26,2005-11-18,117000,127500
506,2005-11-18,2008-03-31,127500,143000
506,2008-03-31,2016-10-18,143000,152000
507,2001-06-29,2003-04-17,90200,129000
507,2003-04-17,2004-04-05,129000,143000
507,2004-04-05,2025-10-01,143000,264500
512,2001-02-23,2003-02-28,69450,99950
512,2003-02-28,2021-04-20,99950,180000
514,2001-09-14,2006-03-23,87950,145000
514,2006-03-23,2011-04-21,145000,152000
515,2001-06-29,2005-05-17,72950,124000
515,2005-05-17,2024-10-21,124000,180000
516,2008-02-22,2015-10-29,194000,207000
516,2015-10-29,2018-03-16,207000,236000
516,2018-03-16,2023-05-10,236000,280000
517,2008-04-25,2016-12-21,201000,194000
517,2016-12-21,2019-09-06,194000,236000
518,2008-05-20,2009-04-09,119950,115000
518,2009-04-09,2014-03-24,115000,112000
518,2014-03-24,2019-10-25,112000,130000
518,2019-10-25,2021-08-03,130000,145000
519,2015-05-08,2022-12-05,107000,147000
526,2007-12-17,2019-09-25,135950,130000
528,2008-03-07,2018-08-31,134000,127000
529,2007-12-07,2014-10-14,207950,200000
530,2007-10-12,2014-05-02,204500,200000
531,2007-12-14,2018-01-26,199950,225000
531,2018-01-26,2024-08-02,225000,270000
533,2008-11-14,2019-04-30,299460,350000
534,2008-12-05,2018-08-24,200000,285000
535,2009-08-14,2022-09-30,222995,320000
536,2009-08-06,2010-07-30,213000,240000
538,2009-11-13,2022-01-17,234995,295000
543,2010-04-23,2016-02-23,233000,243000
544,2009-12-18,2013-11-29,220000,217950
549,2008-12-23,2014-06-04,87500,154000
550,2008-05-16,2023-08-31,160995,180000
552,2008-08-22,2010-09-03,135000,149000
554,2008-12-05,2015-10-16,145995,155000
555,2008-11-07,2012-02-29,131000,122500
555,2012-02-29,2015-04-23,122500,150000
556,2008-10-31,2013-11-29,135000,140000
556,2013-11-29,2016-12-21,140000,160000
556,2016-12-21,2021-11-08,160000,179995
557,2008-10-31,2013-09-26,139995,137000
558,2008-11-07,2012-09-28,139995,135000
558,2012-09-28,2024-04-19,135000,180000
559,2009-03-27,2021-06-14,144995,175000
561,2009-06-12,2013-12-03,129995,105000
561,2013-12-03,2021-11-12,105000,147500
562,2009-06-17,2020-08-28,149995,172000
564,2009-04-06,2022-07-25,129995,150000
565,2009-05-29,2014-02-28,149995,144500
566,2009-04-28,2015-12-21,145500,155000
566,2015-12-21,2018-03-12,155000,162000
567,2009-05-01,2014-09-23,129995,135000
569,2009-04-28,2011-07-29,141995,130000
569,2011-07-29,2017-12-12,130000,160000
569,2017-12-12,2020-06-11,160000,165000
570,2009-06-29,2019-03-25,128564,146500
573,2008-04-25,2008-10-17,145207,145995
574,2008-09-13,2012-07-20,135000,135000
574,2012-07-20,2019-04-10,135000,160000
574,2019-04-10,2025-01-24,160000,167500
575,2008-11-17,2012-02-29,127980,128000
575,2012-02-29,2016-11-30,128000,160000
576,2008-06-27,2016-07-08,170750,160000
577,2008-09-26,2011-04-21,140000,144000
577,2011-04-21,2017-02-27,144000,160000
579,2007-12-21,2015-08-12,119995,111111
579,2015-08-12,2019-12-05,111111,122500
579,2019-12-05,2021-12-03,122500,125500
580,2007-12-17,2017-12-21,166995,134000
581,2007-12-21,2018-11-01,159995,146000
581,2018-11-01,2025-03-31,146000,177500
582,2007-12-17,2023-03-29,166995,175000
583,2007-12-20,2018-01-31,153995,135000
584,2007-12-21,2011-09-30,125000,118250
586,2007-12-21,2023-11-10,155995,165000
587,2007-12-21,2013-11-15,119150,106000
587,2013-11-15,2024-02-06,106000,129000
589,2007-12-21,2023-03-06,157995,155000
591,2012-05-31,2018-12-20,64000,77500
591,2018-12-20,2024-10-21,77500,167000
592,2009-03-12,2015-08-28,49500,59000
592,2015-08-28,2018-07-31,59000,60000
592,2018-07-31,2025-03-28,60000,136000
593,2008-10-31,2016-07-29,69000,70000
594,2013-09-13,2022-10-11,50000,60000
595,2008-09-12,2016-02-08,69000,130000
596,2015-12-16,2022-02-07,70000,77500
598,2015-08-21,2022-04-14,255000,315000
601,2015-12-18,2019-08-01,250000,231000
603,2015-09-04,2018-01-18,225000,238000
603,2018-01-18,2019-01-16,238000,250000
604,2015-05-22,2021-04-01,225000,257500
604,2021-04-01,2025-03-31,257500,315000
605,2015-04-22,2017-09-29,250000,290000
609,2016-03-02,2016-03-02,260000,268000
609,2016-03-02,2024-12-13,268000,325000
612,2015-11-20,2025-09-08,240000,300000
619,2016-03-31,2020-10-02,280000,300000
622,2016-09-30,2019-10-28,280000,240000
626,2007-09-14,2023-02-03,124370,135000
627,2007-09-14,2019-02-15,124370,116500
627,2019-02-15,2024-05-30,116500,130000
628,2007-09-14,2018-05-14,165995,163000
628,2018-05-14,2018-05-17,163000,158500
628,2018-05-17,2021-01-12,158500,158500
631,2007-09-14,2007-11-13,145795,161995
631,2007-11-13,2020-03-20,161995,147000
632,2007-09-14,2013-03-18,116000,106000
632,2013-03-18,2021-12-22,106000,125000
635,2007-09-28,2022-06-14,135000,160000
636,2007-09-28,2016-03-29,141545,139000
636,2016-03-29,2024-02-07,139000,167500
637,2007-09-28,2010-10-29,125000,134750
637,2010-10-29,2014-11-28,134750,124999
638,2007-09-28,2011-05-11,137745,127000
638,2011-05-11,2015-11-23,127000,130000
639,2007-09-28,2009-02-27,146995,117500
639,2009-02-27,2017-06-19,117500,145000
641,2007-09-28,2008-05-30,125000,133000
642,2007-10-10,2019-01-15,148995,150000
647,2007-06-29,2016-03-31,142995,132500
648,2007-06-22,2015-02-25,122975,118000
649,2007-06-20,2018-05-31,159995,148000
650,2007-06-20,2013-08-09,142995,131000
651,2007-06-22,2015-05-06,121525,114000
